anon_pr_id,reviewer,severity,verdict,has_unified_diff,has_suggestion_block,latency_min_to_finding,body_word_count_approx,created_date
PR002,cursor,medium,valid_fixed,0,0,10.5,132,2026-04-15
PR005,cursor,high,valid_fixed,0,0,,139,2026-04-16
PR064,cursor,medium,valid_fixed,0,0,,130,2026-04-19
PR008,cursor,high,valid_fixed,0,0,,145,2026-04-19
PR008,cursor,low,valid_fixed,0,0,10.4,88,2026-04-19
PR008,cursor,medium,valid_fixed,0,0,,148,2026-04-19
PR009,cursor,low,valid_fixed,0,0,2.2,113,2026-04-19
PR009,cursor,low,valid_fixed,0,0,,135,2026-04-19
PR012,cursor,high,valid_fixed,0,0,,119,2026-04-20
PR016,cursor,high,valid_fixed,0,0,,130,2026-04-20
PR016,cursor,low,valid_fixed,0,0,3.5,160,2026-04-20
PR016,cursor,high,valid_fixed,0,0,,146,2026-04-20
PR019,cursor,low,valid_fixed,0,0,7.1,135,2026-04-22
PR019,cursor,medium,valid_fixed,0,0,5.8,137,2026-04-22
PR020,cursor,medium,valid_fixed,0,0,8.2,149,2026-04-22
PR020,cursor,medium,valid_fixed,0,0,,161,2026-04-22
PR022,cursor,medium,valid_fixed,0,0,6.0,135,2026-04-22
PR024,cursor,medium,valid_fixed,0,0,6.5,136,2026-04-23
PR024,cursor,medium,valid_fixed,0,0,,144,2026-04-23
PR024,cursor,medium,valid_fixed,0,0,5.5,129,2026-04-23
PR024,cursor,low,valid_fixed,0,0,5.5,120,2026-04-23
PR025,cursor,medium,valid_fixed,0,0,7.4,142,2026-04-23
PR026,cursor,medium,valid_fixed,0,0,,107,2026-04-23
PR027,coderabbitai,minor,valid_fixed,1,1,5.3,229,2026-04-23
PR027,coderabbitai,major,false_positive,1,1,,459,2026-04-23
PR027,coderabbitai,major,valid_fixed,0,0,5.1,187,2026-04-23
PR027,coderabbitai,major,valid_fixed,1,0,5.1,270,2026-04-23
PR028,coderabbitai,major,valid_fixed,1,1,9.9,255,2026-04-23
PR029,cursor,low,valid_fixed,0,0,,134,2026-04-23
PR031,seer,low,false_positive,0,0,,202,2026-04-23
PR031,cursor,medium,valid_fixed,0,0,,145,2026-04-23
PR031,cursor,low,valid_fixed,0,0,,163,2026-04-23
