reviewer,metric,value
coderabbitai,false_positive_count,6
coderabbitai,findings_total,282
coderabbitai,fp_rate_pct,2.27
coderabbitai,latency_mean_min,10.03
coderabbitai,latency_median_min,10.1
coderabbitai,mean_findings_per_pr,3.4
coderabbitai,pct_with_suggestion_block,27.66
coderabbitai,pct_with_unified_diff,68.09
coderabbitai,prs_with_findings,83
coderabbitai,valid_fixed_count,258
cursor,false_positive_count,6
cursor,findings_total,128
cursor,fp_rate_pct,4.76
cursor,mean_findings_per_pr,2.56
cursor,prs_with_findings,50
cursor,valid_fixed_count,120
greptile,false_positive_count,0
greptile,findings_total,120
greptile,fp_rate_pct,0.0
greptile,mean_findings_per_pr,2.18
greptile,prs_with_findings,55
greptile,valid_fixed_count,118
seer,false_positive_count,10
seer,findings_total,150
seer,fp_rate_pct,6.71
seer,mean_findings_per_pr,2.68
seer,prs_with_findings,56
seer,valid_fixed_count,139
